review,polarity,subjectivity,cluster
i bet you'll love it !,0.625,0.6,-1
i have not had my original dog filter in like 3 weeks i would like to always have it.,0.375,0.75,-1
"its alright, but now they added more white to strain my eyes.",0.25,0.25,-1
its great u should 100% try it out.,0.8,0.75,-1
forget the haters you are so cool !,0.4375,0.65,-1
snapchat is so good because it gives me good looking and gives me strength to take a pictures.,0.7,0.6000000000000001,-1
super laggy.,0.3333333333333333,0.6666666666666666,-1
i think this app will be more good if you have boomerang in the option together with the timer.,0.6,0.55,-1
it is a very good app but the only issue that bothers me is that you can't block a person from screen shoting your snaps!,0.45499999999999996,0.8900000000000001,-1
all the filters are amzazing and make my face so beautiful so i loves this app.,0.85,1.0,-1
it's a good application.,0.7,0.6000000000000001,-1
i love this app it's so easy to communicate with people.,0.4666666666666667,0.7166666666666667,-1
"the pictures are at heart of what snapchat is supposed to be about, right?",0.2857142857142857,0.5357142857142857,-1
snapchat does not let my picture be backed up i've got so many waiting to be backed and to be honest i'm getting annoyed that is right now.,0.24642857142857144,0.6839285714285714,-1
"edit: honestly, i feel like the design just becomes more and more ugly with every update.",0.22500000000000003,0.725,-1
"fun app, filters are the best part fa sho.",0.65,0.25,-1
i i use an lg harmony and for some reasonsnapchat is not as compatible with android types of phones but is completely compatible with iphones for the most part.,0.3,0.45,-1
best timepass app to use.,1.0,0.3,-1
this is by far the most amazing social media platform.,0.3083333333333334,0.6166666666666667,-1
used to be fun.,0.3,0.2,-1
"most everything else about the app works absolutely fine, there being some exceptions, but not many.",0.22222222222222224,0.5,-1
i love being to contact my friends that i dont have phone numbers for!,0.625,0.6,-1
more detail contact me developers.,0.5,0.5,-1
it's way too easy to call people.,0.43333333333333335,0.8333333333333334,-1
i can reconnect and have fun with my friends!,0.375,0.2,-1
wonderful app with absolutely beautiful filters.,0.925,1.0,-1
all is good but the export pic is not working properly.,0.35,0.35000000000000003,-1
"and, cannot send a one snap to more than 200 peoples.",0.5,0.5,-1
great app but i don't know how to turn on ghost mode !,1.0,0.75,-1
including my own.,0.6,1.0,-1
i love you so so so so so so so so so so so so so so so so so so so so so much.,0.35,0.4,-1
there really was a large pallete of coulors and its just jenarally fun.,0.23809523809523805,0.27619047619047615,-1
very good apps.,0.9099999999999999,0.7800000000000001,-1
"i love snapchat, its a good way to keep in contact with your friends.",0.6,0.6000000000000001,-1
can we please get an option to set the image ratio on our own?,0.6,1.0,-1
with the latest update for my samsung s10+ the chats take forever to open.,0.25,0.7,-1
everything else like sending videos and pictures as snaps works completely fine.,0.4166666666666667,0.5,-1
but other than that its great.,0.3375,0.5625,-1
"easy, fun and socialable.",0.3666666666666667,0.5166666666666667,-1
its a really good app i like how they kinda make a new filter like everyday ut gives a fresh look.,0.23409090909090907,0.5386363636363637,-1
most of the notifications i receive are delayed.,0.5,0.5,-1
wonderful app i so love it!,0.8125,0.8,-1
i'll have full bars and my snaps still won't send periodically.,0.35,0.55,-1
awaiting more updates and new upcomings.,0.3181818181818182,0.4772727272727273,-1
its an amazing app with amazing filters.,0.6000000000000001,0.9,-1
fun and lovely.,0.4,0.475,-1
probably my top most used app.,0.5,0.5,-1
i can only purchase filters or lenses from a friend's iphone can't make them from my own phone anymore.,0.3,1.0,-1
great conversation starter.,0.8,0.75,-1
"the original look was always mine, and my entire school's favorite.",0.2916666666666667,0.7916666666666666,-1
i love snap its the only way i can keep in contact with my friends.,0.25,0.8,-1
it is a good app to use.,0.7,0.6000000000000001,-1
"snapchat is the application i liked the most before, a simple concept ;you take pictures and you can add filters .",0.3666666666666667,0.5523809523809524,-1
"it's a great app, gives a lot of privacy to you and the person you're talking to.",0.8,0.75,-1
because of snapchat i have great memories and pictures of my granny.,0.8,0.75,-1
i love keeping up my streaks and my highest one is 271!,0.625,0.6,-1
and now it jumbles all of the messages in each chat together so i can't read most of it after i send it.,0.5,0.5,-1
i love using this app.,0.5,0.6,-1
best app for stories.,1.0,0.3,-1
and good for comunicating.,0.7,0.6000000000000001,-1
hello was excited to get message no one there.,0.375,0.75,-1
don't like that this app will unblock people on its own.,0.6,1.0,-1
in the most recent update the quality of my photos dropped horrendously.,0.25,0.375,-1
amazing because this app can make you get in contact with people if you dont have there phone number.,0.6000000000000001,0.9,-1
love this app it's for people that just start using social media.,0.26666666666666666,0.3333333333333333,-1
amazing captions.,0.6000000000000001,0.9,-1
"""i just have to say that i love the space between the words on this app"".",0.5,0.6,-1
the rest is great the messaging is ok too just like whatsapp but the filters.,0.65,0.625,-1
really loved the concept of filters .,0.7,0.8,-1
i love that you can also block people that is helpful.,0.5,0.6,-1
