review,polarity,subjectivity,cluster
starting to get annoying.,-0.4,0.5,0
update: it still does it and it is really irritating.,-0.4,0.8,0
it's starting to get really annoying.,-0.4,0.5,0
its getting really annoying.,-0.8,0.9,0
me and my friends go on snapchat and be bad.,-0.6999999999999998,0.6666666666666666,1
it really sucks when i'm texting my friends.,-0.3,0.3,1
not able to take videos.,-0.25,0.625,2
"i'm not able to send videos, they just sit there and say sending but never send.",-0.25,0.625,2
i don't know what the hell is going on and i'm not able to send msg to anyone.,-0.25,0.625,2
stop your annoying ads on youtube.,-0.8,0.9,3
i am tired of wasting my data on streaming your adds on youtube videos.,-0.4,0.7,3
it takes forever to save a video im unable to export to my camera roll.,-0.5,0.5,4
"its obvious that each video is longer than that, but i am unable to change the view time.",-0.25,0.5,4
there's no option to lay over multiple filters like there is on iphone and the picture quality is terrible.,-0.5,0.5,5
"hmmm this app is not good, some of the filters are not working even if you select them.",-0.35,0.6000000000000001,5
uses the zoomed camera making it difficult to use.,-0.5,1.0,6
sometimes the camera on the filters can lag wich is really annoying.,-0.8,0.9,6
another complaint is that i don't get notifications asap.,-0.3,0.2,7
"sometimes sending me a notification, sometimes not, and a lot of late notification.",-0.3,0.6,7
"every time this app it says , failed to connect to the server.",-0.5,0.3,8
connection randomly drops and failed to send.,-0.5,0.4,8
i feel like this app is only for iphones because on androids the camera quality is disgusting.,-0.5,1.0,9
camera quality sucks on android.,-0.3,0.3,9
photo and video quality is horrible on android.,-1.0,1.0,9
using a google pixel 4xl and the camera quality is absolutely horrible inside the app.,-1.0,1.0,9
addicting but it's a little buggy on android and the camera on andriod for some reason is bad.,-0.4437499999999999,0.5833333333333333,9
now when i take pictures on my android the quality is much worse.,-0.4,0.6,9
it is unbelievably slow and annoying on my phone.,-0.55,0.65,10
it works only on my phone sadly.,-0.25,1.0,10
keeps telling me something went wrong and to try again later.,-0.25,0.45,11
"it is rather annoying, i thought it would be fixed by now.",-0.35000000000000003,0.55,11
"sometimes, on the galaxy s10e, after taking a photo it will say ""snap failed, please try again"" and then the entire phone will restart.",-0.25,0.4625,12
