review,polarity,subjectivity,cluster
it is a good app,0.7,0.6000000000000001,0
"but other then that, its a pretty good app",0.27499999999999997,0.6583333333333333,0
its a good app,0.7,0.6000000000000001,0
"overall a good app, with some mild content",0.3444444444444444,0.3666666666666667,0
but other then that its a good app,0.2875,0.48750000000000004,0
this app is good in using,0.7,0.6000000000000001,0
otherwise its a nice app,0.6,1.0,0
very nice app,0.78,1.0,0
other than that its a great app,0.3375,0.5625,0
good app very useful,0.5449999999999999,0.30000000000000004,0
overall it's a good app,0.35,0.30000000000000004,0
although its a kind of good app!!😇,0.6499999999999999,0.75,0
pretty good,0.475,0.8,1
it is alot satisfying,0.5,1.0,1
besides that it is good,0.7,0.6000000000000001,1
its very good,0.9099999999999999,0.7800000000000001,1
it would be great,0.8,0.75,1
but its fine,0.4166666666666667,0.5,1
this is nice,0.6,1.0,1
it's pretty good,0.475,0.8,1
but its good,0.7,0.6000000000000001,1
its really good,0.7,0.6000000000000001,1
its so good,0.7,0.6000000000000001,1
ok so that's a plus ,0.5,0.5,1
just great,0.8,0.75,1
it was quite nice,0.6,1.0,1
it works great,0.8,0.75,1
honestly it's good,0.7,0.6000000000000001,1
it's awesome,1.0,1.0,1
i wish it was more user friendly,0.4375,0.5,2
kind of wish i knew how to get the updated version so i can see some of my messages,0.6,0.9,2
i wish snapchat would make a more streamlined experience for galaxy users like myself,0.5,0.5,2
"honestly, i wish i could give this new update 0 stars",0.36818181818181817,0.6772727272727272,2
do better!,0.625,0.5,3
please make it more efficient,0.5,0.5,3
it needs more improvement,0.5,0.5,3
and improve it more,0.5,0.5,3
when it is fixed i will give a better rating,0.3,0.35,3
btw tnx for making it better 🥺❤❤❤❤❤😝,0.5,0.5,3
please make it better!,0.625,0.5,3
it is a great app but miss the old clear all conversations at once rather than individually,0.25,0.43333333333333335,4
"most reliable messaging app i have right now, but",0.39285714285714285,0.5178571428571428,4
it's a awesome app so who ever don't have snap chat need to have it and in a hurry,1.0,1.0,4
used to work perfectly on my phone,1.0,1.0,4
other than that it's great,0.3375,0.5625,5
works fine otherwise,0.4166666666666667,0.5,5
"good, but one teensy thing",0.7,0.6000000000000001,5
beside these it is nice,0.6,1.0,5
the filters could be more graphic ,0.25,0.45,6
great!!!! i would like more filters especially natural looking filters,0.5666666666666667,0.6833333333333332,6
ite great but i want new and better filters like last year,0.3590909090909091,0.4428030303030303,6
the filters should change more often,0.5,0.5,6
it's really great but i think it need to have more filters and stikers,0.65,0.625,6
i want more filter but otherwise it is good,0.6,0.55,6
it's fun but wanted to do face swap and it's not there,0.3,0.2,7
its been 2 days and i cant even send a bitmoji cause it just keeps buffering! everything else is amazing,0.6000000000000001,0.9,7
i loved snapchat on my iphone but it's almost not worth using on my galaxy s10 plus,0.27499999999999997,0.45,8
since the last update my rear camera hasn't been focusing at all and has been very blurry which at first i thought maybe my camera had an issue but it works perfect on my phones camera,0.3625,0.425,8
would be great if this was updated for the mi mix phones so as the app flips as the camera is at the bottom of these devices (cant use filters and takes a really unflattering selfie haha),0.39999999999999997,0.4166666666666667,8
"i dont know if this is something that snapchat can fix or samsung has to fix, but i have the s10 and the camera can never focus within this app, but it does just fine on samsung's camera app",0.4166666666666667,0.5,8
idk if it's just because i run on a samsung instead of apple but yeah tons of bugs in this app ever since they changed stories from the right the original way they had it,0.33035714285714285,0.6428571428571428,8
"i use snapchat to play quick fun games with friends and to send a picture if needed, highly considering getting rid of this and just using facebook instead hopefully this gets fixed",0.22333333333333333,0.35999999999999993,9
"also, sometimes when i'm posting to my story, i can't continue to record on snapchat or my own camera until the story is posted to snapchat",0.6,1.0,9
snapchat is great and i definetly recommend it but dont update or your bitmojis will stop working,0.8,0.75,9
"people send me things that i can't view because i need to ""update snapchat from the play store"" but i don't have an update available",0.4,0.4,9
most games don't even load in group chats and i frequently get the 'update snapchat to view this message' for stickers,0.3,0.4,9
snapchat is great but after i have updated my app my stories are not visible to my some friends,0.8,0.75,9
you took something great and destroyed it,0.8,0.75,10
then it consistently crashes,0.25,0.25,10
it has very clear pictures and it takes away the pimples on my face nd has fun paste,0.21500000000000002,0.3491666666666666,11
much smoother operation and better camera quality,0.35,0.35,11
its easy to use and it adds more beauty,0.4666666666666667,0.6666666666666667,11
it's good but it keeps slowing dowm,0.7,0.6000000000000001,12
this is not the best review i have ever done just an fyi i a fyi trying,1.0,0.3,12
its amazing wirh all the diffrent filters and all the friends and family you can add its even has a block,0.6000000000000001,0.9,13
"my family and i like the faces that we can do with, so many selections",0.5,0.5,13
it would also be nice to be able to keep the filters you like and get rid of the ones you never use,0.55,0.8125,14
snap was great and all till a few days ago i cant even get into my snap all its does is say snap keeps closing if it stopped doing that then id be happy,0.46666666666666673,0.6166666666666667,14
"my phone runs smoothly, and i love that! whenever snapchat is open, my phone gets stuck for 10 minutes",0.3416666666666666,0.5333333333333333,15
only records 10 seconds of audio but will record more for video,0.25,0.75,15
"power button doesn't work, nothing!! i was actually still able to see the time from 10 minutes ago when snapchat freezes",0.25,0.3625,15
it isnvery good on tablets and iphone and androids,0.7,0.6000000000000001,16
"good updates overall, thank god android quality isn't garbage anymore",0.35,0.30000000000000004,16
"😒 i have a motorola phone, same programming as android, there shouldnt be this many issues",0.25,0.3125,16
i used to be an apple user but enjoy the android interface,0.4,0.5,16
"its funny, just when i was about to give a better a review, the app keeps on stopping",0.375,0.75,17
its good but anytime i try to open my memories the app closes pls fix it up,0.35,0.55,17
yesterday it was working fine and today its saying that app is stopping automatically 😤😤i have not send any snap today and my streaks are gonna break again,0.4166666666666667,0.5,17
"great app update! now if you open the app through a push notification, you won't see anything until you restart the app!",0.5,0.625,17
"this used to be an amazing app, and now? regardless of how many times ive uninstalled and reinstalled, it keeps closing out",0.55,0.7,17
sort ya app out before the new update it was fine now its messed up wont oet me view any sort of videos no messages going though and have to view snaps loads of times for them to go away 😤😤,0.2765151515151515,0.4772727272727273,17
its good but o keep getting a blank screen and cant use it untill i uninstall it and re install it plz fix!!!!,0.35,0.30000000000000004,17
i have tried deleting the apps nd logging back in but it still won't work so if u could do something about that it would be great,0.4,0.375,17
awesome site im on alot and i like that the filters change now and then,1.0,1.0,18
i love the app and it filter but it always hanging and i have to update it all the time,0.5,0.6,18
"i like snapchat filters, keep bringing more of them",0.5,0.5,18
